"product_name","category","subcategory","total_orders","units_sold","total_revenue","total_profit","profit_margin","revenue_rank"
Tripp Lite TLP810NET Broadband Surge for Modem/Fax,Office Supplies,Appliances,6,22,937.85,130.48,0.14,537
Steel Personal Filing/Posting Tote,Office Supplies,Storage,5,29,937.46,185.72,0.20,538
"Sauder Mission Library with Doors, Fruitwood Finish",Furniture,Bookcases,3,10,935.20,-125.74,-0.13,539
"Fellowes Premier Superior Surge Suppressor, 10-Outlet, With Phone and Remote",Office Supplies,Appliances,7,21,929.48,169.26,0.18,540
SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,6,25,927.77,37.99,0.04,541
Novimex High-Tech Fabric Mesh Task Chair,Furniture,Chairs,4,16,922.74,-133.44,-0.14,542
Riverside Furniture Stanwyck Manor Table Series,Furniture,Tables,3,5,917.92,-415.93,-0.45,543
Ativa MDM8000 8-Sheet Micro-Cut Shredder,Technology,Machines,2,11,917.90,393.26,0.43,544
Cisco SPA508G,Technology,Phones,5,15,910.66,207.87,0.23,545
"White Dual Perf Computer Printout Paper, 2700 Sheets, 1 Part, Heavyweight, 20 lbs., 14 7/8 x 11",Office Supplies,Paper,6,24,909.98,408.26,0.45,546
Plantronics Cordless Phone Headset with In-line Volume - M214C,Technology,Phones,6,27,908.70,219.84,0.24,547
LG Electronics Tone+ HBS-730 Bluetooth Headset,Technology,Phones,4,18,904.55,133.30,0.15,548
"Global Stack Chair without Arms, Black",Furniture,Chairs,7,44,901.51,44.17,0.05,549
Vinyl Sectional Post Binders,Office Supplies,Binders,11,40,901.03,147.03,0.16,550
Sony 64GB Class 10 Micro SDHC R40 Memory Card,Technology,Accessories,9,27,899.75,132.08,0.15,551
Eldon Portable Mobile Manager,Office Supplies,Storage,9,34,899.30,197.39,0.22,552
Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,Technology,Accessories,6,24,888.97,196.03,0.22,553
SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,Technology,Accessories,11,44,884.00,38.01,0.04,554
Cisco Small Business SPA 502G VoIP phone,Technology,Phones,4,11,882.10,58.46,0.07,555
"Safco Chair Connectors, 6/Carton",Furniture,Chairs,4,26,881.19,170.85,0.19,556
Xerox 1883,Office Supplies,Paper,7,37,881.09,354.02,0.40,557
Xerox 1960,Office Supplies,Paper,6,32,879.83,334.58,0.38,558
"Boston School Pro Electric Pencil Sharpener, 1670",Office Supplies,Art,7,32,873.64,149.94,0.17,559
"Eldon Base for stackable storage shelf, platinum",Office Supplies,Storage,7,25,872.26,-52.57,-0.06,560
Fellowes Superior 10 Outlet Split Surge Protector,Office Supplies,Appliances,9,30,867.77,57.09,0.07,561
Executive Impressions Supervisor Wall Clock,Furniture,Furnishings,4,21,867.26,266.07,0.31,562
Xerox 1913,Office Supplies,Paper,5,17,865.49,375.05,0.43,563
Fellowes Bases and Tops For Staxonsteel/High-Stak Systems,Office Supplies,Storage,10,26,858.88,201.07,0.23,564
"Safco Value Mate Series Steel Bookcases, Baked Enamel Finish on Steel, Gray",Furniture,Bookcases,6,17,858.86,-9.94,-0.01,565
Green Bar Computer Printout Paper,Office Supplies,Paper,5,17,857.38,380.87,0.44,566
"Hon Metal Bookcases, Gray",Furniture,Bookcases,2,12,851.76,229.98,0.27,567
"Belkin 19"" Center-Weighted Shelf, Gray",Office Supplies,Storage,4,16,849.31,-47.18,-0.06,568
Panasonic Kx-TS550,Technology,Phones,7,23,846.22,95.20,0.11,569
Plantronics 81402,Technology,Phones,4,15,844.67,112.18,0.13,570
GBC VeloBinder Manual Binding System,Office Supplies,Binders,8,30,842.17,280.72,0.33,571
"Wilson Jones Elliptical Ring 3 1/2"" Capacity Binders, 800 sheets",Office Supplies,Binders,8,42,834.60,-82.18,-0.10,572
Motorola HK250 Universal Bluetooth Headset,Technology,Phones,9,41,832.24,-91.50,-0.11,573
Xerox 1916,Office Supplies,Paper,7,20,831.98,342.58,0.41,574
Balt Solid Wood Rectangular Table,Furniture,Tables,4,11,828.10,-216.26,-0.26,575
Safco Industrial Shelving,Office Supplies,Storage,5,13,827.12,-104.13,-0.13,576
"Bush Birmingham Collection Bookcase, Dark Cherry",Furniture,Bookcases,1,9,825.17,-117.88,-0.14,577
Tripp Lite Isotel 8 Ultra 8 Outlet Metal Surge,Office Supplies,Appliances,3,16,823.25,-17.03,-0.02,578
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Furniture,Furnishings,5,28,822.74,311.77,0.38,579
Global Chrome Stack Chair,Furniture,Chairs,6,32,815.86,15.08,0.02,580
Kensington 6 Outlet MasterPiece HOMEOFFICE Power Control Center,Office Supplies,Appliances,2,9,812.16,235.53,0.29,581
Grandstream GXP1160 VoIP phone,Technology,Phones,6,24,803.69,157.71,0.20,582
"Global Stack Chair with Arms, Black",Furniture,Chairs,7,31,803.46,125.02,0.16,583
"Safco Value Mate Steel Bookcase, Baked Enamel Finish on Steel, Black",Furniture,Bookcases,3,14,802.07,106.47,0.13,584
Logitech MX Performance Wireless Mouse,Technology,Accessories,7,23,789.82,211.82,0.27,585
Howard Miller 12-3/4 Diameter Accuwave DS  Wall Clock,Furniture,Furnishings,2,14,786.90,147.94,0.19,586
"Blue String-Tie & Button Interoffice Envelopes, 10 x 13",Office Supplies,Envelopes,7,22,783.61,299.85,0.38,587
GBC Premium Transparent Covers with Diagonal Lined Pattern,Office Supplies,Binders,14,67,780.46,49.51,0.06,588
JBL Micro Wireless Portable Bluetooth Speaker,Technology,Phones,6,17,779.87,15.00,0.02,589
Logitech Desktop MK120 Mouse and keyboard Combo,Technology,Accessories,12,50,778.74,42.54,0.05,590
Eldon Radial Chair Mat for Low to Medium Pile Carpets,Furniture,Furnishings,6,20,775.61,135.93,0.18,591
Logitech Trackman Marble Mouse,Technology,Accessories,9,28,773.74,286.70,0.37,592
Belkin F9G930V10-GRY 9 Outlet Surge,Office Supplies,Appliances,5,16,770.11,162.58,0.21,593
Xerox 191,Office Supplies,Paper,10,39,767.23,354.25,0.46,594
"Global Deluxe Stacking Chair, Gray",Furniture,Chairs,7,19,764.70,76.98,0.10,595
"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Furniture,Furnishings,5,15,763.67,-222.74,-0.29,596
Logitech G105 Gaming Keyboard,Technology,Accessories,5,14,759.94,78.37,0.10,597
Fellowes 8 Outlet Superior Workstation Surge Protector,Office Supplies,Appliances,5,20,759.12,166.84,0.22,598
AT&T CL2909,Technology,Phones,3,8,755.94,50.40,0.07,599
Xerox 1951,Office Supplies,Paper,6,30,755.91,244.74,0.32,600
Staples,Office Supplies,Fasteners,46,215,755.47,292.21,0.39,601
Sauder Barrister Bookcases,Furniture,Bookcases,3,16,754.73,-294.77,-0.39,602
Premium Transparent Presentation Covers by GBC,Office Supplies,Binders,10,43,753.18,284.07,0.38,603
Clarity 53712,Technology,Phones,4,14,752.29,68.63,0.09,604
Ibico Recycled Linen-Style Covers,Office Supplies,Binders,4,24,749.95,262.48,0.35,605
Bush Mission Pointe Library,Furniture,Bookcases,3,6,748.86,24.16,0.03,606
Innergie mMini Combo Duo USB Travel Charging Kit,Technology,Phones,6,19,746.83,302.33,0.40,607
Plantronics Encore H101 Dual Earpieces Headset,Technology,Phones,7,18,746.17,163.62,0.22,608
Xerox 1943,Office Supplies,Paper,4,16,743.43,328.68,0.44,609
"Logitech B530 USB Headset - headset - Full size, Binaural",Technology,Phones,10,25,739.80,64.73,0.09,610
Belkin 8 Outlet SurgeMaster II Gold Surge Protector,Office Supplies,Appliances,5,15,737.75,89.97,0.12,611
"Bush Cubix Collection Bookcases, Fully Assembled",Furniture,Bookcases,3,4,729.23,48.62,0.07,612
RCA ViSYS 25825 Wireless digital phone,Technology,Phones,2,7,727.94,90.99,0.13,613
O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,6,21,723.84,-133.11,-0.18,614
Lexmark MarkNet N8150 Wireless Print Server,Technology,Machines,2,6,723.51,-506.46,-0.70,615
Xerox 1964,Office Supplies,Paper,4,33,721.74,314.74,0.44,616
Memorex Mini Travel Drive 16 GB USB 2.0 Flash Drive,Technology,Accessories,6,45,718.65,280.27,0.39,617
Avaya 4621SW VoIP phone,Technology,Phones,4,12,709.92,79.87,0.11,618
Eldon Mobile Mega Data Cart  Mega Stackable  Add-On Trays,Office Supplies,Storage,6,30,709.50,205.76,0.29,619
WD My Passport Ultra 500GB Portable External Hard Drive,Technology,Accessories,4,12,708.00,120.36,0.17,620
SAFCO Folding Chair Trolley,Furniture,Chairs,3,6,705.32,151.32,0.21,621
Panasonic KP-380BK Classic Electric Pencil Sharpener,Office Supplies,Art,6,22,705.21,111.54,0.16,622
Lock-Up Easel 'Spel-Binder',Office Supplies,Binders,7,44,704.69,39.37,0.06,623
Zebra GK420t Direct Thermal/Thermal Transfer Printer,Technology,Machines,1,6,703.71,-938.28,-1.33,624
"Deflect-o EconoMat Nonstudded, No Bevel Mat",Furniture,Furnishings,3,14,702.44,123.96,0.18,625
iHome FM Clock Radio with Lightning Dock,Technology,Phones,5,13,699.90,17.50,0.03,626
"Premium Transparent Presentation Covers, No Pattern/Clear, 8 1/2"" x 11""",Office Supplies,Binders,7,29,698.04,90.75,0.13,627
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs,2,7,694.19,-158.49,-0.23,628
Euro-Pro Shark Turbo Vacuum,Office Supplies,Appliances,6,24,693.95,143.75,0.21,629
OtterBox Defender Series Case - Samsung Galaxy S4,Technology,Phones,8,27,689.77,122.96,0.18,630
Samsung Convoy 3,Technology,Phones,2,9,688.14,-31.08,-0.05,631
"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs,5,23,685.59,115.74,0.17,632
Tops White Computer Printout Paper,Office Supplies,Paper,4,14,684.74,321.83,0.47,633
Safco Steel Mobile File Cart,Office Supplies,Storage,5,9,683.55,120.87,0.18,634
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",Furniture,Furnishings,4,17,681.45,256.19,0.38,635
Flat Face Poster Frame,Furniture,Furnishings,12,51,678.24,120.95,0.18,636
Holmes Harmony HEPA Air Purifier for 17 x 20 Room,Office Supplies,Appliances,1,3,675.12,290.30,0.43,637
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",Furniture,Furnishings,6,17,673.87,72.08,0.11,638
Hunt Boston Vacuum Mount KS Pencil Sharpener,Office Supplies,Art,5,20,671.81,153.96,0.23,639
Tuf-Vin Binders,Office Supplies,Binders,7,26,669.50,234.32,0.35,640
Binding Machine Supplies,Office Supplies,Binders,9,32,667.99,182.60,0.27,641
Fellowes 8 Outlet Superior Workstation Surge Protector w/o Phone/Fax/Modem Protection,Office Supplies,Appliances,5,25,665.68,43.71,0.07,642
Fellowes Command Center 5-outlet power strip,Office Supplies,Appliances,4,15,664.83,-78.02,-0.12,643
"GBC Velobind Prepunched Cover Sets, Regency Series",Office Supplies,Binders,7,33,661.94,-9.25,-0.01,644
Panasonic KX T7731-B Digital phone,Technology,Phones,3,8,659.93,75.99,0.12,645
Surelock Post Binders,Office Supplies,Binders,8,29,653.98,210.86,0.32,646
Hon 61000 Series Interactive Training Tables,Furniture,Tables,9,22,653.12,-148.40,-0.23,647
Xerox 1886,Office Supplies,Paper,5,14,651.44,302.73,0.46,648
"Bush Westfield Collection Bookcases, Dark Cherry Finish",Furniture,Bookcases,3,14,649.38,-97.41,-0.15,649
Belkin 8 Outlet SurgeMaster II Gold Surge Protector with Phone Protection,Office Supplies,Appliances,1,8,647.84,168.44,0.26,650
Avery 485,Office Supplies,Labels,8,51,639.03,300.34,0.47,651
Safco Drafting Table,Furniture,Tables,4,12,638.82,34.07,0.05,652
DAX Wood Document Frame,Furniture,Furnishings,13,56,637.07,134.01,0.21,653
"Computer Room Manger, 14""",Furniture,Furnishings,7,22,636.61,179.29,0.28,654
"Strathmore #10 Envelopes, Ultimate White",Office Supplies,Envelopes,4,12,632.52,309.94,0.49,655
Belkin 7 Outlet SurgeMaster II,Office Supplies,Appliances,3,16,631.68,176.87,0.28,656
"TRENDnet 56K USB 2.0 Phone, Internet and Fax Modem",Technology,Accessories,5,25,626.54,212.30,0.34,657
Avaya 5410 Digital phone,Technology,Phones,4,13,625.51,-10.88,-0.02,658
Xerox 1880,Office Supplies,Paper,5,18,623.74,285.65,0.46,659
"BOSTON Ranger #55 Pencil Sharpener, Black",Office Supplies,Art,9,27,618.56,120.33,0.19,660
Plantronics MX500i Earset,Technology,Phones,7,15,618.48,-6.44,-0.01,661
Xerox 1882,Office Supplies,Paper,5,12,615.78,273.18,0.44,662
Xerox 1940,Office Supplies,Paper,4,12,615.55,279.20,0.45,663
Eldon ProFile File 'N Store Portable File Tub Letter/Legal Size Black,Office Supplies,Storage,7,35,614.06,127.45,0.21,664
"Companion Letter/Legal File, Black",Office Supplies,Storage,5,17,611.71,149.53,0.24,665
"Performers Binder/Pad Holder, Black",Office Supplies,Binders,8,36,611.05,106.51,0.17,666
"Tyvek  Top-Opening Peel & Seel  Envelopes, Gray",Office Supplies,Envelopes,3,17,610.98,274.94,0.45,667
Motorola L804,Technology,Phones,6,19,607.07,-13.34,-0.02,668
Xblue XB-1670-86 X16 Small Office Telephone - Titanium,Technology,Phones,2,5,604.75,132.29,0.22,669
Xerox 1911,Office Supplies,Paper,5,13,603.54,279.74,0.46,670
Office Star - Task Chair with Contemporary Loop Arms,Furniture,Chairs,2,8,600.47,47.31,0.08,671
Lexmark 20R1285 X6650 Wireless All-in-One Printer,Technology,Machines,2,6,600.00,218.40,0.36,672
Anker Astro 15000mAh USB Portable Charger,Technology,Phones,5,13,599.88,-24.00,-0.04,673
"Contico 72""H Heavy-Duty Storage System",Office Supplies,Storage,5,16,598.31,-57.37,-0.10,674
Hewlett-Packard Deskjet 5550 Printer,Technology,Machines,1,3,597.13,49.76,0.08,675
Xerox 1942,Office Supplies,Paper,6,13,597.07,278.96,0.47,676
Grandstream GXP2100 Mainstream Business Phone,Technology,Phones,4,10,596.62,45.89,0.08,677
"Xerox Color Copier Paper, 11"" x 17"", Ream",Office Supplies,Paper,6,27,593.84,260.83,0.44,678
Microsoft Wireless Mobile Mouse 4000,Technology,Accessories,4,15,591.85,183.95,0.31,679
Panasonic KX TS3282B Corded phone,Technology,Phones,3,9,590.33,44.27,0.08,680
Xerox 1910,Office Supplies,Paper,5,14,586.09,236.36,0.40,681
Wilson Jones Century Plastic Molded Ring Binders,Office Supplies,Binders,10,48,583.64,55.25,0.09,682
Sony Micro Vault Click 8 GB USB 2.0 Flash Drive,Technology,Accessories,4,13,582.68,57.33,0.10,683
Fellowes Econo/Stor Drawers,Office Supplies,Storage,2,7,581.58,-56.22,-0.10,684
"Dana Fluorescent Magnifying Lamp, White, 36""",Furniture,Furnishings,4,14,581.17,81.57,0.14,685
Canon PC170 Desktop Personal Copier,Technology,Machines,2,6,575.82,67.18,0.12,686
Xerox 1991,Office Supplies,Paper,6,26,575.57,254.89,0.44,687
"Howard Miller 16"" Diameter Gallery Wall Clock",Furniture,Furnishings,4,12,575.46,107.42,0.19,688
Avery 477,Office Supplies,Labels,4,20,573.96,244.24,0.43,689
Panasonic KP-150 Electric Pencil Sharpener,Office Supplies,Art,4,16,573.65,126.81,0.22,690
Xerox 1944,Office Supplies,Paper,6,16,573.65,257.37,0.45,690
PureGear Roll-On Screen Protector,Technology,Phones,5,34,571.71,218.29,0.38,692
First Data TMFD35 PIN Pad,Technology,Accessories,2,4,571.20,119.95,0.21,693
"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",Office Supplies,Envelopes,7,24,570.78,225.05,0.39,694
"Green Canvas Binder for 8-1/2"" x 14"" Sheets",Office Supplies,Binders,5,19,569.24,162.64,0.29,695
Sanford 52201 APSCO Electric Pencil Sharpener,Office Supplies,Art,4,14,565.39,140.94,0.25,696
Belkin F8E887 USB Wired Ergonomic Keyboard,Technology,Accessories,8,21,563.81,66.28,0.12,697
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,Furniture,Furnishings,5,13,563.03,56.30,0.10,698
Belkin F9M820V08 8 Outlet Surge,Office Supplies,Appliances,3,15,558.74,101.00,0.18,699
Microsoft Natural Ergonomic Keyboard 4000,Technology,Accessories,5,19,557.81,107.66,0.19,700
Memorex Micro Travel Drive 16 GB,Technology,Accessories,6,39,556.45,126.16,0.23,701
Wilson Jones Heavy-Duty Casebound Ring Binders with Metal Hinges,Office Supplies,Binders,6,22,554.24,157.96,0.28,702
Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Office Supplies,Envelopes,4,19,552.71,177.66,0.32,703
Logitech Wireless Anywhere Mouse MX for PC and Mac,Technology,Accessories,3,11,551.91,89.99,0.16,704
"12-1/2 Diameter Round Wall Clock",Furniture,Furnishings,8,36,551.45,91.11,0.17,705
Kensington SlimBlade Notebook Wireless Mouse with Nano Receiver,Technology,Accessories,4,13,549.89,120.98,0.22,706
"Conquest 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Office Supplies,Appliances,4,12,546.82,61.52,0.11,707
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",Furniture,Furnishings,6,17,546.19,17.45,0.03,708
Panasonic Business Telephones KX-T7736,Technology,Phones,1,3,546.06,163.82,0.30,709
"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",Office Supplies,Binders,7,22,545.03,85.24,0.16,710
Memorex Mini Travel Drive 64 GB USB 2.0 Flash Drive,Technology,Accessories,6,15,543.60,228.31,0.42,711
Xerox 1884,Office Supplies,Paper,8,32,543.46,204.60,0.38,712
I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,Technology,Phones,10,52,542.98,95.20,0.18,713
O'Sullivan 5-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,4,9,540.80,-12.29,-0.02,714
Xerox 1935,Office Supplies,Paper,4,21,538.15,239.00,0.44,715
Memorex Froggy Flash Drive 8 GB,Technology,Accessories,8,32,536.05,189.57,0.35,716
Tensor Computer Mounted Lamp,Furniture,Furnishings,8,36,536.04,144.73,0.27,717
Boston KS Multi-Size Manual Pencil Sharpener,Office Supplies,Art,7,25,533.37,119.55,0.22,718
Logitech ClearChat Comfort/USB Headset H390,Technology,Accessories,6,19,533.08,160.22,0.30,719
Wilson Jones Legal Size Ring Binders,Office Supplies,Binders,9,44,532.16,48.38,0.09,720
Howard Miller Distant Time Traveler Alarm Clock,Furniture,Furnishings,6,21,531.95,192.21,0.36,721
Newell 334,Office Supplies,Art,6,27,531.71,135.31,0.25,722
Staple holder,Office Supplies,Appliances,13,52,528.78,118.00,0.22,723
Southworth 25% Cotton Premium Laser Paper and Envelopes,Office Supplies,Paper,5,28,527.47,236.56,0.45,724
"Premier Elliptical Ring Binder, Black",Office Supplies,Binders,9,46,526.61,-201.51,-0.38,725
"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Art,8,20,523.59,118.23,0.23,726
Space Solutions Industrial Galvanized Steel Shelving.,Office Supplies,Storage,3,7,520.08,-20.49,-0.04,727
Bevis Round Conference Room Tables and Bases,Furniture,Tables,2,4,519.94,-39.44,-0.08,728
Rogers Profile Extra Capacity Storage Tub,Office Supplies,Storage,7,32,518.94,4.69,0.01,729
"Decoflex Hanging Personal Folder File, Blue",Office Supplies,Storage,9,35,518.11,124.13,0.24,730
Alphabetical Labels for Top Tab Filing,Office Supplies,Labels,9,37,518.00,244.20,0.47,731
"Tenex Personal Project File with Scoop Front Design, Black",Office Supplies,Storage,10,40,517.63,118.62,0.23,732
Xerox 1889,Office Supplies,Paper,3,10,516.62,236.33,0.46,733
Cisco SPA112 2 Port Phone Adapter,Technology,Phones,3,11,516.53,87.37,0.17,734
Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,Office Supplies,Appliances,8,29,516.22,122.84,0.24,735
Nokia Lumia 521 (T-Mobile),Technology,Phones,5,20,515.83,83.97,0.16,736
Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,Appliances,3,11,515.79,201.16,0.39,737
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",Furniture,Furnishings,4,13,514.56,23.54,0.05,738
DAX Natural Wood-Tone Poster Frame,Furniture,Furnishings,5,23,513.71,123.93,0.24,739
Xerox 1887,Office Supplies,Paper,8,30,512.19,216.26,0.42,740
Newell 319,Office Supplies,Art,8,28,511.87,123.01,0.24,741
"DataProducts Ampli Magnifier Task Lamp, Black,",Furniture,Furnishings,5,21,508.73,99.58,0.20,742
Socket Bluetooth Cordless Hand Scanner (CHS),Technology,Machines,1,3,506.28,177.20,0.35,743
Deluxe Heavy-Duty Vinyl Round Ring Binder,Office Supplies,Binders,7,33,504.24,88.24,0.18,744
Logitech Media Keyboard K200,Technology,Accessories,4,16,503.86,50.39,0.10,745
"Maxell 74 Minute CD-R Spindle, 50/Pack",Technology,Accessories,5,24,503.28,181.18,0.36,746
Xerox 197,Office Supplies,Paper,3,18,501.88,195.17,0.39,747
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",Furniture,Furnishings,6,14,500.31,101.79,0.20,748
Anker Ultra-Slim Mini Bluetooth 3.0 Wireless Keyboard,Technology,Accessories,5,26,499.75,99.55,0.20,749
Xerox 1937,Office Supplies,Paper,4,12,499.62,199.85,0.40,750
Jensen SMPS-640 - speaker phone,Technology,Phones,4,12,496.58,88.28,0.18,751
"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",Office Supplies,Art,6,30,496.25,113.27,0.23,752
GBC VeloBinder Electric Binding Machine,Office Supplies,Binders,4,15,496.02,-411.33,-0.83,753
GE DSL Phone Line Filter,Technology,Phones,4,15,495.88,69.98,0.14,754
Belkin QODE FastFit Bluetooth Keyboard,Technology,Accessories,2,9,495.60,16.11,0.03,755
Anker Ultrathin Bluetooth Wireless Keyboard Aluminum Cover with Stand,Technology,Accessories,4,17,491.84,32.99,0.07,756
Samsung HM1900 Bluetooth Headset,Technology,Phones,7,27,491.68,195.36,0.40,757
Xerox 1925,Office Supplies,Paper,6,18,489.48,182.78,0.37,758
Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,2,4,489.38,-70.83,-0.14,759
"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,7,32,488.90,223.14,0.46,760
Clearsounds A400,Technology,Phones,3,11,488.33,-48.83,-0.10,761
"24-Hour Round Wall Clock",Furniture,Furnishings,6,27,487.51,180.02,0.37,762
GBC Recycled VeloBinder Covers,Office Supplies,Binders,8,42,487.34,100.88,0.21,763
Safco Commercial Shelving,Office Supplies,Storage,5,11,483.70,-7.44,-0.02,764
"Sortfiler Multipurpose Personal File Organizer, Black",Office Supplies,Storage,6,24,483.41,118.93,0.25,765
AT&T CL82213,Technology,Phones,5,17,481.23,131.33,0.27,766
Fellowes Neat Ideas Storage Cubes,Office Supplies,Storage,7,16,480.70,-18.19,-0.04,767
NeatDesk Desktop Scanner & Digital Filing System,Technology,Machines,1,2,479.99,56.00,0.12,768
Cherry 142-key Programmable Keyboard,Technology,Accessories,1,4,479.72,52.77,0.11,769
"Howard Miller 12"" Round Wall Clock",Furniture,Furnishings,2,14,479.34,127.30,0.27,770
Staples in misc. colors,Office Supplies,Art,19,86,478.81,124.05,0.26,771
Kingston Digital DataTraveler 16GB USB 2.0,Technology,Accessories,13,57,477.93,64.71,0.14,772
"iKross Bluetooth Portable Keyboard + Cell Phone Stand Holder + Brush for Apple iPhone 5S 5C 5, 4S 4",Technology,Phones,5,24,477.66,115.64,0.24,773
Fellowes Super Stor/Drawer,Office Supplies,Storage,4,18,477.30,67.71,0.14,774
Newell 345,Office Supplies,Art,9,26,476.16,94.44,0.20,775
AT&T SB67148 SynJ,Technology,Phones,3,8,475.13,89.75,0.19,776
"Memorex 25GB 6X Branded Blu-Ray Recordable Disc, 30/Pack",Technology,Accessories,4,17,472.86,-32.27,-0.07,777
Enermax Briskie RF Wireless Keyboard and Mouse Combo,Technology,Accessories,5,24,469.40,150.38,0.32,778
"Tenex V2T-RE Standard Weight Series Chair Mat, 45"" x 53"", Lip 25"" x 12""",Furniture,Furnishings,3,7,468.47,51.11,0.11,779
Dexim XPower Skin Super-Thin Power Case for iPhone 5 - Black,Technology,Phones,3,11,467.92,-14.62,-0.03,780
Tenex Chairmats For Use with Hard Floors,Furniture,Furnishings,6,20,467.71,-129.92,-0.28,781
Jackery Bar Premium Fast-charging Portable Charger,Technology,Phones,4,18,467.22,192.28,0.41,782
Imation 32GB Pocket Pro USB 3.0 Flash Drive - 32 GB - Black - 1 P ...,Technology,Accessories,5,18,467.22,143.76,0.31,782
"Seth Thomas 14"" Day/Date Wall Clock",Furniture,Furnishings,6,17,467.07,162.05,0.35,784
GBC Recycled Grain Textured Covers,Office Supplies,Binders,5,20,466.29,107.07,0.23,785
GBC Standard Therm-A-Bind Covers,Office Supplies,Binders,12,34,466.00,8.47,0.02,786
Ricoh - Ink Collector Unit for GX3000 Series Printers,Technology,Machines,3,14,465.65,36.92,0.08,787
Belkin F5C206VTEL 6 Outlet Surge,Office Supplies,Appliances,7,22,464.20,110.30,0.24,788
Electrix Fluorescent Magnifier Lamps & Weighted Base,Furniture,Furnishings,2,11,463.80,73.02,0.16,789
"Global Task Chair, Black",Furniture,Chairs,5,12,463.10,-80.41,-0.17,790
V7 USB Numeric Keypad,Technology,Accessories,4,16,461.87,-58.78,-0.13,791
Newell 34,Office Supplies,Art,7,25,460.29,93.25,0.20,792
"Personal Filing Tote with Lid, Black/Gray",Office Supplies,Storage,8,31,459.10,112.91,0.25,793
"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,Supplies,7,36,458.70,103.42,0.23,794
"IBM Multi-Purpose Copy Paper, 8 1/2 x 11"", Case",Office Supplies,Paper,6,16,458.50,185.88,0.41,795
Acco Perma 4000 Stacking Storage Drawers,Office Supplies,Storage,11,31,457.97,30.04,0.07,796
DAX Black Cherry Wood-Tone Poster Frame,Furniture,Furnishings,8,24,455.46,61.43,0.13,797
"9-3/4 Diameter Round Wall Clock",Furniture,Furnishings,8,34,455.07,183.13,0.40,798
Xerox 1881,Office Supplies,Paper,11,38,454.36,207.04,0.46,799
Panasonic KX - TS880B Telephone,Technology,Phones,3,11,453.42,122.42,0.27,800
"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,Appliances,3,8,452.97,105.49,0.23,801
Poly Designer Cover & Back,Office Supplies,Binders,7,35,451.96,106.34,0.24,802
"HP Officejet Pro 8600 e-All-In-One Printer, Copier, Scanner, Fax",Technology,Machines,2,4,449.97,48.00,0.11,803
Mobile Personal File Cube,Office Supplies,Storage,5,21,449.66,90.64,0.20,804
Acco Smartsocket Color-Coded Six-Outlet AC Adapter Model Surge Protectors,Office Supplies,Appliances,4,14,448.90,-7.04,-0.02,805
"Acme 10"" Easy Grip Assistive Scissors",Office Supplies,Supplies,8,26,448.77,129.72,0.29,806
Hewlett-Packard Deskjet D4360 Printer,Technology,Machines,1,4,447.97,139.99,0.31,807
Boston 16801 Nautilus Battery Pencil Sharpener,Office Supplies,Art,6,23,444.60,69.99,0.16,808
Rogers Deluxe File Chest,Office Supplies,Storage,8,22,444.00,-34.73,-0.08,809
Xerox 194,Office Supplies,Paper,4,9,443.84,184.19,0.42,810
Imation Clip USB flash drive - 8 GB,Technology,Accessories,7,25,443.68,1.88,0.00,811
invisibleSHIELD by ZAGG Smudge-Free Screen Protector,Technology,Phones,7,29,442.55,171.27,0.39,812
